k_yomiyasusa,k_seizensa,k_chikarazuyosa,k_akarusa,k_dokujisei,k_jidaisei,k_atatakasa,g_yomiyasusa,g_seizensa,g_chikarazuyosa,g_akarusa,g_dokujisei,g_jidaisei,g_atatakasa,s_yomiyasusa,s_seizensa,s_chikarazuyosa,s_akarusa,s_dokujisei,s_jidaisei,s_atatakasa,suki
99,92,0,88,67,27,38,41,77,24,32,91,15,30,11,91,74,73,99,1,69,sousho
81,81,63,42,19,67,55,42,71,51,45,66,37,54,6,83,51,44,94,6,50,kaisho
62,65,74,58,54,65,63,20,19,49,38,86,23,50,0,0,50,42,100,0,50,kaisho
66,70,95,22,27,41,64,38,62,78,56,86,11,63,3,57,94,20,93,5,31,gyosho
92,73,79,59,48,82,73,40,60,69,39,100,5,32,5,100,3,77,96,2,75,gyosho
100,88,34,64,16,82,70,33,65,23,39,92,14,66,0,82,0,57,100,0,34,kaisho
81,79,75,50,62,36,60,66,68,72,64,61,35,68,23,73,28,58,90,17,64,kaisho
100,100,63,73,29,34,67,28,63,64,41,78,19,59,10,73,20,42,85,0,38,kaisho
76,93,85,79,64,30,51,5,26,40,53,98,43,29,0,0,22,30,80,56,31,kaisho
95,86,88,58,75,22,39,38,68,21,58,79,6,63,8,23,9,37,100,0,23,gyosho
63,80,0,76,37,69,100,39,32,35,42,66,37,41,23,53,65,25,77,28,32,kaisho
78,80,94,29,67,63,57,40,66,95,72,88,22,83,5,23,98,87,91,8,67,kaisho
61,74,69,50,41,24,62,78,67,55,84,65,16,58,7,71,28,39,92,1,51,gyosho
30,35,71,36,65,33,36,65,66,34,65,87,76,68,74,32,27,77,99,82,73,kaisho
86,100,63,80,65,34,41,13,92,17,23,91,14,28,0,62,14,24,100,7,67,kaisho
100,76,35,60,23,77,78,40,79,37,44,61,25,37,10,81,20,36,62,15,44,gyosho
56,49,62,72,55,67,77,31,71,40,49,74,24,53,4,54,43,59,92,48,69,gyosho
78,100,87,67,67,82,63,37,38,40,40,63,25,33,11,62,22,43,67,20,25,gyosho
76,100,49,66,0,56,27,66,100,54,64,30,62,33,66,100,62,60,18,59,28,
64,47,54,58,26,75,36,39,46,73,75,83,29,64,17,28,91,72,92,9,65,gyosho
28,64,86,71,78,27,33,29,68,75,37,77,29,35,8,89,19,30,100,13,80,sousho
